scenario_idx,effective_snr,overlap,sir,isi_spread,mem_len,mae_raw,mae_log10,p95_raw,bias_raw,region_acc
145,541.3169198762399,8.154576579050086e-61,0.45223757057054054,0.02533333266496482,11,0.0053560977520096574,0.00793768340219517,0.015205218763140899,0.002076120105249475,0.925
146,38.19046361637726,1.2435518562681941e-05,0.5678292079158527,0.09209595042301265,9,0.006541808292734067,0.024069874150547663,0.013962952268280608,-0.0005802323344385989,0.92
147,437.77695080324526,1.5806589684384757e-49,0.5179589924909959,0.0276373328944709,10,0.004771115553736681,0.0077218133803961565,0.01129790362106583,0.002124255721467068,0.885
148,486.1640086482517,8.36967295599292e-55,0.42930769690179543,0.026935633957668684,11,0.005237981063473896,0.007715692153082844,0.015315570657361992,0.0012392266758088368,0.91
149,11292.96415258,0.0,0.7277371809121329,0.005119779764921355,8,0.005568340200783773,0.013065930193671336,0.015825596552986227,0.00368970438794409,0.95
150,2030.1882485258782,9.405279941730018e-223,0.48582389657364916,0.012943699837235303,10,0.005975466463749765,0.00883378772230184,0.018957479777198572,0.004025616697499295,0.935
151,283.5656173227061,1.0848549674835841e-32,0.36369362054552756,0.036070193712422864,12,0.008050094393505635,0.012918135818557847,0.02425229554708549,-0.002425269332800515,0.85
152,6968.615711284826,0.0,0.31639256026750867,0.007404967575243233,13,0.008497284645602003,0.009691890086381999,0.03666090782158667,0.0022845514155138695,0.865
153,534.3100768925945,4.731165971205585e-60,0.278573058941749,0.02709923777769677,14,0.010565618165214013,0.01553965400906953,0.047220436425055315,-0.0033235476380853533,0.765
154,25.623617068482357,0.000344438455440566,0.6646011413855528,0.1091393105592715,8,0.006118638396639881,0.026986376441722935,0.01147686929179748,-0.0014291107940986088,0.935
